focus_area,provider,url,title,source,published,relevance,date_added
reasoning_agent,openai,https://arxiv.org/abs/2511.02424,ReAcTree: Hierarchical LLM Agent Trees with Control Flow for Long-Horizon Task Planning,arXiv,2025-11-04,Hierarchical agent-tree decomposition and control flow for long-horizon planning beyond monolithic trajectories (ReAct-style baselines).,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2511.11373,MarsRL: Advancing Multi-Agent Reasoning System via Reinforcement Learning with Agentic Pipeline Parallelism,arXiv,2025-11-14,RL framework that trains multi-agent solver/verifier/corrector pipelines efficiently—relevant to building strong multi-agent reasoning systems.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2511.00086,Generalizing Test-time Compute-optimal Scaling as an Optimizable Graph,arXiv,2025-10-29,Formalizes compute-optimal test-time scaling as a graph optimization problem over roles/models/topologies in multi-LLM collaboration.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.24803,MASPRM: Multi-Agent System Process Reward Model,arXiv,2025-10-28,Introduces a process reward model for multi-agent transcripts to steer inference-time beam search/MCTS and spend compute more effectively.,2025-12-24
reasoning_agent,openai,https://github.com/milad1378yz/MASPRM,milad1378yz/MASPRM,GitHub,recent,Code to reproduce MASPRM and integrate process-reward-guided search into multi-agent reasoning pipelines.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.09988,Unifying Tree Search Algorithm and Reward Design for LLM Reasoning: A Survey,arXiv,2025-10-11,Survey/taxonomy linking tree search mechanisms and reward formulation across test-time scaling and self-improving reasoning agents.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.20272,Limits of PRM-Guided Tree Search for Mathematical Reasoning with LLMs,arXiv,2025-10-23,Empirical evidence that PRM-guided tree search can fail to beat best-of-N due to reward model depth/generalization issues—important for TTS design.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.18982,"Test-time Verification via Optimal Transport: Coverage, ROC, & Sub-optimality",arXiv,2025-10-21,"Theory for verifier-based test-time scaling analyzing generator coverage, verifier ROC, and sampling sub-optimality tradeoffs.",2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.14913,Budget-aware Test-time Scaling via Discriminative Verification,arXiv,2025-10-16,"Proposes discriminative verification as a compute-efficient alternative to generative verifiers, improving performance under fixed inference budgets.",2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.02611,On the Role of Temperature Sampling in Test-Time Scaling,arXiv,2025-10-02,Shows single-temperature best-of-K saturates and proposes multi-temperature scaling to enlarge the set of problems solved at test time.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.05746,ARM: Discovering Agentic Reasoning Modules for Generalizable Multi-Agent Systems,arXiv,2025-10-07,Automatically discovers modular reasoning steps via tree search over code—treating CoT as a unit to optimize for generalizable multi-agent reasoning.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2510.09599,Prompting Test-Time Scaling Is A Strong LLM Reasoning Data Augmentation,arXiv,2025-10-10,Uses test-time scaling prompting to synthesize diverse reasoning trajectories for finetuning—bridges inference-time scaling and training improvements.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2506.07976,Thinking vs. Doing: Agents that Reason by Scaling Test-Time Interaction,arXiv,2025-06-09,"Argues agents can scale capability by extending interaction horizon (exploration/backtracking/replanning), complementing token-based test-time compute.",2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2503.24235,"What, How, Where, and How Well? A Survey on Test-Time Scaling in Large Language Models",arXiv,2025-03-31,"Comprehensive taxonomy/survey of test-time scaling techniques, applications (including agentic tasks), and evaluation dimensions.",2025-12-24
reasoning_agent,openai,https://github.com/testtimescaling/testtimescaling.github.io,testtimescaling/testtimescaling.github.io (companion repo to TTS survey),GitHub,2025-04-09,Companion repository with a structured map of TTS methods plus figures/tables and ongoing updates for tracking the field.,2025-12-24
reasoning_agent,openai,https://arxiv.org/abs/2501.19393,s1: Simple test-time scaling,arXiv,2025-01-31,Influential open baseline for test-time compute control (“budget forcing”) and small curated reasoning data to elicit stronger reasoning.,2025-12-24
reasoning_agent,openai,https://github.com/simplescaling/s1,simplescaling/s1,GitHub,recent,Open-source implementation and data for s1 and budget forcing—useful for reproducing and extending test-time scaling experiments.,2025-12-24
reasoning_agent,openai,https://github.com/ThreeSR/Awesome-Inference-Time-Scaling,ThreeSR/Awesome-Inference-Time-Scaling,GitHub,recent,"Curated, frequently updated reading list of inference/test-time scaling papers (verifiers, search, MCTS, PRMs), helpful for ongoing monitoring.",2025-12-24
reasoning_agent,anthropic,https://arxiv.org/abs/2501.12948,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,"January 22, 2025","Landmark paper showing pure RL can elicit reasoning capabilities without SFT, achieving o1-level performance on math/code benchmarks.",2025-12-24
reasoning_agent,anthropic,https://github.com/deepseek-ai/DeepSeek-R1,DeepSeek-R1 GitHub Repository,GitHub,January 2025,Open-source release of DeepSeek's reasoning models including distilled versions from 1.5B to 70B parameters under MIT license.,2025-12-24
reasoning_agent,anthropic,https://openai.com/index/learning-to-reason-with-llms/,Learning to reason with LLMs,OpenAI,September 2024,OpenAI's foundational post on o1 reasoning model explaining chain-of-thought via reinforcement learning and test-time compute scaling.,2025-12-24
reasoning_agent,anthropic,https://openai.com/index/introducing-o3-and-o4-mini/,Introducing OpenAI o3 and o4-mini,OpenAI,April 2025,"Latest o-series reasoning models with agentic tool use, representing state-of-the-art in combined reasoning and tool capabilities.",2025-12-24
reasoning_agent,anthropic,https://arxiv.org/abs/2408.03314,Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,arXiv,August 2024,Key Berkeley research showing test-time compute scaling can outperform 14x larger models on certain problems via compute-optimal strategies.,2025-12-24
reasoning_agent,anthropic,https://testtimescaling.github.io/,"What, How, Where, and How Well? A Survey on Test-Time Scaling in Large Language Models",Academic Survey,2025,"Comprehensive survey organizing TTS research across what to scale, how to scale, where to apply, and evaluation metrics.",2025-12-24
reasoning_agent,anthropic,https://www.anthropic.com/news/visible-extended-thinking,Claude's extended thinking,Anthropic,February 2025,Anthropic's approach to hybrid reasoning with configurable thinking budgets and visible thought process for Claude models.,2025-12-24
reasoning_agent,anthropic,https://www.anthropic.com/engineering/claude-think-tool,The 'think' tool: Enabling Claude to stop and think,Anthropic Engineering,2025,"New technique allowing Claude to pause during tool calling chains for deliberate reasoning, showing 54% improvement on agentic tasks.",2025-12-24
reasoning_agent,anthropic,https://developer.nvidia.com/blog/an-easy-introduction-to-llm-reasoning-ai-agents-and-test-time-scaling/,"An Easy Introduction to LLM Reasoning, AI Agents, and Test Time Scaling",NVIDIA Technical Blog,June 2025,"Comprehensive NVIDIA tutorial covering LLM agents, reasoning patterns, and test-time compute techniques like chain-of-thought and tree-of-thought.",2025-12-24
reasoning_agent,anthropic,https://huggingface.co/blog/Kseniase/testtimecompute,What is test-time compute and how to scale it?,Hugging Face Blog,recent,Practical guide covering 5 methods for scaling test-time compute including DeepSeek-R1's approach and reinforcement learning techniques.,2025-12-24
reasoning_agent,anthropic,https://blog.langchain.com/langchain-langgraph-1dot0/,LangChain and LangGraph Agent Frameworks Reach v1.0 Milestones,LangChain Blog,November 2025,"Major stable release of production-ready agent frameworks with durable execution, human-in-the-loop, and comprehensive memory.",2025-12-24
reasoning_agent,anthropic,https://blog.langchain.com/planning-agents/,Plan-and-Execute Agents,LangChain Blog,February 2024,LangGraph architectures for plan-and-execute style agents that separate planning from execution for improved multi-step reasoning.,2025-12-24
reasoning_agent,anthropic,https://ai.google.dev/gemini-api/docs/thinking,Gemini thinking | Gemini API,Google AI,December 2024,Official Gemini API documentation on thinking modes with configurable thinking budgets for Gemini 2.5/3 series models.,2025-12-24
reasoning_agent,anthropic,https://huggingface.co/Qwen/QwQ-32B,QwQ-32B: Embracing the Power of Reinforcement Learning,Hugging Face / Qwen,March 2025,Open-source 32B reasoning model achieving DeepSeek-R1-level performance with smaller compute requirements under Apache 2.0 license.,2025-12-24
reasoning_agent,anthropic,https://arxiv.org/abs/2305.10601,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,arXiv / NeurIPS 2023,December 2023,"Foundational paper on ToT prompting enabling LLMs to explore multiple reasoning paths with backtracking, achieving 74% on Game of 24 vs 4% for CoT.",2025-12-24
reasoning_agent,anthropic,https://arxiv.org/abs/2504.19678,From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,arXiv,April 2025,"Comprehensive survey covering ~60 benchmarks, agent frameworks, and collaboration protocols (ACP, MCP, A2A) from 2019-2025.",2025-12-24
reasoning_agent,anthropic,https://arxiv.org/html/2504.09037v1,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",arXiv,April 2025,"Survey organizing reasoning research across inference scaling, learning-to-reason, and single/multi-agent systems with unified framework.",2025-12-24
reasoning_agent,anthropic,https://arxiv.org/html/2502.04644v2,Agentic Reasoning: A Streamlined Framework for Enhancing LLM Reasoning with Agentic Tools,arXiv,February 2025,"Framework integrating Mind-Map memory, web search agents, and computational tools into reasoning chains for deep research tasks.",2025-12-24
reasoning_agent,anthropic,https://techcrunch.com/2024/12/20/openai-announces-new-o3-model/,OpenAI announces new o3 models,TechCrunch,"December 20, 2024","Coverage of o3 announcement with record benchmark scores: 87.5% on ARC-AGI, 96.7% on AIME, 71.7% on SWE-Bench Verified.",2025-12-24
reasoning_agent,anthropic,https://simonwillison.net/2024/Dec/19/gemini-thinking-mode/,Gemini 2.0 Flash 'Thinking mode',Simon Willison's Blog,"December 19, 2024",Technical deep-dive on Google's first reasoning model with practical examples and llm-gemini plugin implementation.,2025-12-24
reasoning_agent,anthropic,https://blog.langchain.com/top-5-langgraph-agents-in-production-2024/,Top 5 LangGraph Agents in Production 2024,LangChain Blog,January 2025,"Real-world production case studies from LinkedIn, Elastic, Replit showing controllable agent architectures with LangGraph.",2025-12-24
reasoning_agent,anthropic,https://techxplore.com/news/2025-12-ai-agents-debate-mathematical.html,AI agents debate their way to improved mathematical reasoning,Tech Xplore,December 2024,Research on Adaptive Heterogeneous Multi-Agent Debate framework achieving 4-6% higher accuracy and 30% fewer factual errors.,2025-12-24
reasoning_agent,anthropic,https://aclanthology.org/2024.acl-long.331/,Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,ACL Anthology,August 2024,ACL 2024 paper finding single-agent LLMs with strong prompts can match multi-agent discussion performance on reasoning tasks.,2025-12-24
reasoning_agent,anthropic,https://www.datacamp.com/blog/gemini-2-0-flash-experimental,Gemini 2.0 Flash Thinking Experimental: A Guide With Examples,DataCamp,February 2025,Practical guide to Google's reasoning model with benchmarks showing 73.3% on AIME2024 vs 35.5% for base Flash model.,2025-12-24
reasoning_agent,anthropic,https://arxiv.org/abs/2502.05171,Scaling up Test-Time Compute with Latent Reasoning: A Recurrent Depth Approach,arXiv,February 2025,Novel architecture for test-time compute scaling using recurrent blocks for implicit reasoning in latent space.,2025-12-24
reasoning_agent,anthropic,https://blogs.nvidia.com/blog/ai-scaling-laws/,"How Scaling Laws Drive Smarter, More Powerful AI",NVIDIA Blog,May 2025,NVIDIA's perspective on test-time scaling enabling AI reasoning models that can require 100x compute for complex queries.,2025-12-24
reasoning_agent,anthropic,https://www.nature.com/articles/s41586-025-09422-z,DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning,Nature,September 2025,Peer-reviewed Nature publication validating DeepSeek-R1's RL-based reasoning approach and emergence of self-reflection capabilities.,2025-12-24
reasoning_and_planning,openai,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5,Anthropic,2025-11-24,Frontier-model announcement emphasizing stronger coding/agent performance and improved reasoning—useful for tracking state-of-the-art reasoning model capabilities.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2512.00466,SCALE: Selective Resource Allocation for Overcoming Performance Bottlenecks in Mathematical Test-time Scaling,arXiv,2025-11-29,Selective compute allocation across subproblems to avoid uniform test-time scaling bottlenecks; directly targets diminishing returns in long-CoT reasoning.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2511.15738,"Extending Test-Time Scaling: A 3D Perspective with Context, Batch, and Turn",arXiv,2025-11-18,"Unifies context-length, parallel sampling, and iterative self-refinement as distinct scaling axes—highly relevant for planning/agent workflows.",2025-12-24
reasoning_and_planning,openai,https://www.microsoft.com/en-us/research/publication/towards-thinking-optimal-scaling-of-test-time-compute-for-llm-reasoning/,Towards Thinking-Optimal Scaling of Test-Time Compute for LLM Reasoning,Microsoft Research,2025-02,Finds that excessively long CoTs can hurt performance and proposes “thinking-optimal” length distributions—useful for controlling inference-time reasoning effort.,2025-12-24
reasoning_and_planning,openai,https://www.microsoft.com/en-us/research/publication/putting-the-value-back-in-rl-better-test-time-scaling-by-unifying-llm-reasoners-with-verifiers/,Putting the Value Back in RL: Better Test-Time Scaling by Unifying LLM Reasoners With Verifiers,Microsoft Research,2025-07,RL^V jointly trains a reasoner and generative verifier to enable more efficient verification-driven test-time scaling (parallel + sequential).,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2502.20379,Multi-Agent Verification: Scaling Test-Time Compute with Multiple Verifiers,arXiv,2025-02-27,Proposes scaling the number of verifiers as a new test-time compute dimension; useful for robust reasoning/planning pipelines beyond self-verification.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2510.06135,Pushing Test-Time Scaling Limits of Deep Search with Asymmetric Verification,arXiv,2025-10-07,"Studies sequential+parallel scaling for deep search agents leveraging “asymmetric verification,” reporting large gains on agent benchmarks (e.g., BrowseComp/GAIA).",2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2504.16828,Process Reward Models That Think,arXiv,2025-04-23,ThinkPRM: generative CoT-based process reward models with far fewer process labels; key for step-level verification and safer inference-time scaling.,2025-12-24
reasoning_and_planning,openai,https://github.com/mukhal/thinkprm,mukhal/thinkprm,GitHub,recent,Reference implementation/models for ThinkPRM—useful for reproducing generative PRM verification and building new process-supervision pipelines.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2504.00891,GenPRM: Scaling Test-Time Compute of Process Reward Models via Generative Reasoning,arXiv,2025-04-01,Generative PRM that uses explicit CoT + code verification and supports test-time scaling of verification compute; relevant to PRM robustness and reward hacking.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2512.03244,SPARK: Stepwise Process-Aware Rewards for Reference-Free Reinforcement Learning,arXiv,2025-12-02,"Reference-free pipeline that synthesizes step-level rewards via parallel/sequential verification and trains generative PRMs, with anti–reward-hacking constraints.",2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2501.03124,PRMBench: A Fine-grained and Challenging Benchmark for Process-Level Reward Models,arXiv,2025-01-06,Benchmark for fine-grained PRM step-error detection beyond simple step correctness; foundational for evaluating verifiers used in test-time scaling.,2025-12-24
reasoning_and_planning,openai,https://github.com/ssmisya/PRMBench,ssmisya/PRMBench,GitHub,recent,Official PRMBench code + PRM evaluation toolkit (mr_eval/mr_annotate) to benchmark process-level reward models and LLM critics.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2512.09897,SCOPE: Language Models as One-Time Teacher for Hierarchical Planning in Text Environments,arXiv,2025-12-10,Hierarchical planning approach that uses LLM-generated subgoals only once at initialization to pretrain a lightweight planner—cuts repeated LLM queries at inference.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2512.09629,An End-to-end Planning Framework with Agentic LLMs and PDDL,arXiv,2025-12-10,Agentic orchestration from natural language specs to PDDL with iterative refinement and external planners/validators—strong planning+verification integration.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2511.18165,Towards a General Framework for HTN Modeling with LLMs,arXiv,2025-11-22,Targets hierarchical task network (HTN) model generation with LLMs and evaluates limitations—relevant to structured planning representations and reliability.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2502.04728,Generating Symbolic World Models via Test-time Scaling of Large Language Models,arXiv,2025-02-07,"Uses test-time scaling to generate PDDL symbolic world models enabling classical search (A*/planners), bridging LLM reasoning and formal planning.",2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2502.13092,Text2World: Benchmarking Large Language Models for Symbolic World Model Generation,arXiv,2025-02-18,PDDL-based benchmark for symbolic world model generation with execution-based metrics; includes analysis of test-time scaling and agent-training strategies.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2506.12928,Scaling Test-time Compute for LLM Agents,arXiv,2025-06-15,"Systematic exploration of test-time scaling for language agents (parallel sampling, sequential revision, verifiers, rollout diversity), including “when to reflect” findings.",2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2505.13672,A*-Decoding: Token-Efficient Inference Scaling,arXiv,2025-05-19,Search-based decoding that prioritizes high-quality reasoning paths to achieve strong test-time scaling with fewer tokens/PRM passes—important for efficient deployment.,2025-12-24
reasoning_and_planning,openai,https://aclanthology.org/2025.findings-emnlp.880/,Simple Factuality Probes Detect Hallucinations in Long-Form Natural Language Generation,ACL Anthology (EMNLP 2025 Findings),2025-11,Demonstrates single-pass hidden-state probes can flag hallucinations with orders-of-magnitude less compute than multi-sample approaches—key for factuality at scale.,2025-12-24
reasoning_and_planning,openai,https://aclanthology.org/2025.findings-emnlp.672/,MCTS-RAG: Enhancing Retrieval-Augmented Generation with Monte Carlo Tree Search,ACL Anthology (EMNLP 2025 Findings),2025-11,"Integrates adaptive retrieval with MCTS to refine reasoning paths, improving factual accuracy and reducing hallucinations—grounding + inference-time search.",2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2502.11169,Leveraging Constrained Monte Carlo Tree Search to Generate Reliable Long Chain-of-Thought for Mathematical Reasoning,arXiv,2025-02-16,Constrained-action MCTS with PRM guidance for generating reliable long CoTs; ties MCTS directly to reasoning-trace quality and efficiency.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2510.08992,Constraints-of-Thought: A Framework for Constrained Reasoning in Language-Model-Guided Search,arXiv,2025-10-10,Represents steps as intent/constraint pairs and uses MCTS to prune infeasible branches—improves constraint-aligned planning and reduces hallucinated actions.,2025-12-24
reasoning_and_planning,openai,https://arxiv.org/abs/2509.17116,MCTS-EP: Empowering Embodied Planning with Online Preference Optimization,arXiv,2025-09-21,Combines LLMs with MCTS-guided exploration and online preference optimization for embodied agents; shows strong gains on ALFWorld/WebShop planning tasks.,2025-12-24
reasoning_and_planning,anthropic,https://magazine.sebastianraschka.com/p/understanding-reasoning-llms,Understanding Reasoning LLMs,Sebastian Raschka's Ahead of AI (Substack),"February 5, 2025","Comprehensive guide to reasoning LLMs covering DeepSeek-R1, model distillation, and four main approaches to building reasoning models.",2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2502.12521,Inference-Time Computations for LLM Reasoning and Planning: A Benchmark and Insights,arXiv,"February 18, 2025","Introduces Sys2Bench benchmark evaluating inference-time techniques across 11 diverse tasks, revealing limitations of current methods.",2025-12-24
reasoning_and_planning,anthropic,https://sebastianraschka.com/blog/2025/state-of-llm-reasoning-and-inference-scaling.html,Inference-Time Compute Scaling Methods to Improve Reasoning Models,Sebastian Raschka's Blog,"March 8, 2025",Deep dive into inference-time scaling methods from simple CoT to sophisticated search strategies for reasoning.,2025-12-24
reasoning_and_planning,anthropic,https://deepmind.google/blog/facts-grounding-a-new-benchmark-for-evaluating-the-factuality-of-large-language-models/,FACTS Grounding: A new benchmark for evaluating the factuality of LLMs,Google DeepMind Blog,December 2024,"New benchmark and leaderboard for evaluating LLM grounding and factuality, addressing hallucination problem.",2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2311.05232,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",arXiv,November 2024 (updated),"Comprehensive survey on LLM hallucinations covering taxonomy, detection methods, benchmarks, and mitigation strategies.",2025-12-24
reasoning_and_planning,anthropic,https://proceedings.neurips.cc/paper_files/paper/2024/hash/3c1e1fdf305195cd620c118aaa9717ad-Abstract-Conference.html,LLM-Check: Investigating Detection of Hallucinations in Large Language Models,NeurIPS 2024,"December 16, 2024",NeurIPS 2024 paper introducing efficient hallucination detection using internal LLM representations with up to 450x speedup.,2025-12-24
reasoning_and_planning,anthropic,https://www.nature.com/articles/s41586-024-07421-0,Detecting hallucinations in large language models using semantic entropy,Nature,June 2024,Influential Nature paper introducing semantic entropy for hallucination detection measuring uncertainty at meaning level.,2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2405.06682,Self-Reflection in LLM Agents: Effects on Problem-Solving Performance,arXiv,October 2024,Empirical study showing LLM agents significantly improve problem-solving through self-reflection across multiple models.,2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2402.02716,Understanding the planning of LLM agents: A survey,arXiv,February 2024,"First systematic survey of LLM-based agent planning covering task decomposition, plan selection, reflection, and memory.",2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2405.00451,Monte Carlo Tree Search Boosts Reasoning via Iterative Preference Learning,arXiv,June 2024,"Demonstrates using MCTS to iteratively collect preference data, breaking down instance-level rewards into step-level signals.",2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2501.08603,Monte Carlo Tree Search for Comprehensive Exploration in LLM-Based Automatic Heuristic Design,arXiv,January 2025,"Proposes MCTS-AHD for LLM-based heuristic evolution, organizing generated heuristics in tree structure for better exploration.",2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/html/2505.14656v1,Cost-Augmented Monte Carlo Tree Search for LLM-Assisted Planning (CATS),arXiv,May 2025,"Introduces cost-aware MCTS for LLM planning, achieving better task success rates than raw LLMs under budget constraints.",2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2410.08146,Rewarding Progress: Scaling Automated Process Verifiers for LLM Reasoning,arXiv,October 2024,Key paper on process reward models showing how to design effective process rewards measuring progress toward solutions.,2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/html/2502.10325v1,Process Reward Models for LLM Agents: Practical Framework and Directions (AgentPRM),arXiv,February 2025,"Introduces AgentPRM framework for training LLM agents with process rewards, showing 3B models outperform GPT-4o baselines.",2025-12-24
reasoning_and_planning,anthropic,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5285532,The Decreasing Value of Chain of Thought in Prompting,SSRN / Wharton,June 2025,"Research showing CoT prompting effectiveness varies by task and model, with implications for reasoning strategies.",2025-12-24
reasoning_and_planning,anthropic,https://en.wikipedia.org/wiki/OpenAI_o3,OpenAI o3,Wikipedia,recent,Overview of OpenAI's o3 reasoning model achieving 87.5% on ARC-AGI and state-of-the-art on multiple reasoning benchmarks.,2025-12-24
reasoning_and_planning,anthropic,https://huggingface.co/deepseek-ai/DeepSeek-R1,DeepSeek-R1 Model Card,Hugging Face,January 2025,Official model page for DeepSeek-R1 with distilled checkpoints from 1.5B to 70B enabling open-source reasoning research.,2025-12-24
reasoning_and_planning,anthropic,https://huggingface.co/learn/cookbook/en/search_and_learn,Scaling Test-Time Compute for Longer Thinking in LLMs,Hugging Face Cookbook,recent,Practical guide for implementing test-time compute scaling with open models using search strategies and reward models.,2025-12-24
reasoning_and_planning,anthropic,https://pmc.ncbi.nlm.nih.gov/articles/PMC12546433/,Toward large reasoning models: A survey of reinforced reasoning with large language models,PMC / NIH,recent,Comprehensive survey reviewing LLM reasoning progress from CoT to RL-based approaches with scaling analysis.,2025-12-24
reasoning_and_planning,anthropic,https://magazine.sebastianraschka.com/p/llm-research-papers-2025-list-one,LLM Research Papers: The 2025 List (January to June),Sebastian Raschka's Ahead of AI,July 2025,Topic-organized collection of 200+ LLM research papers from 2025 including reasoning and inference scaling papers.,2025-12-24
reasoning_and_planning,anthropic,https://research.google/blog/effective-large-language-model-adaptation-for-improved-grounding/,Effective large language model adaptation for improved grounding (AGREE),Google Research Blog,recent,Introduces AGREE framework for adapting LLMs to self-ground responses with test-time adaptation for improved factuality.,2025-12-24
reasoning_and_planning,anthropic,https://arxiv.org/abs/2410.02725,"Adaptive Inference-Time Compute: LLMs Can Predict if They Can Do Better, Even Mid-Generation",arXiv,October 2024,"Novel approach for LLMs to self-evaluate and adaptively allocate inference compute, achieving 74% improvement efficiency.",2025-12-24
reasoning_and_planning,anthropic,https://aclanthology.org/2023.findings-emnlp.123/,Towards Mitigating LLM Hallucination via Self Reflection,ACL Anthology / EMNLP 2023,December 2023,Introduces self-reflection methodology for hallucination mitigation in medical QA with knowledge acquisition loop.,2025-12-24
